STATION,POINT ID,DATE,PH,NA,NO3 and NO2,PO4,NH4,SO4,NH4.1
A2R001Q01,90240,12/01/1999,0.6055172413793102,0.5176470588235295,0.9995289419825036,0.9996637807262476,0.9979940350038796,0.24203007187265752,0.9998883413142227
A2R001Q01,90240,12/01/1999,0.613793103448276,0.5264705882352941,0.9995138497353909,0.999664080654235,0.9979940350038796,0.2461307817805018,0.9998883413142227
A2R001Q01,90240,12/01/1999,0.6413793103448278,0.5264705882352941,0.9995141495813601,0.9996613813023493,0.9979940350038796,0.24661581198465543,0.9998883413142227
A2R001Q01,90240,12/01/1999,0.6799999999999997,0.5382352941176471,0.9995303412636929,0.999664080654235,0.9979940350038796,0.23695930155650602,0.9998883413142227
A2R001Q01,90240,12/01/1999,0.5972413793103448,0.5220588235294118,0.999534938901886,0.9996634807982604,0.9979940350038796,0.23832620485912076,0.9998883413142227
A2R001Q01,90240,12/01/1999,0.5420689655172413,0.5485294117647059,0.999496558617838,0.999679277005591,0.9980614062036199,0.2406190749151197,0.9998920912700856
A2R001Q01,90240,12/01/1999,0.5062068965517241,0.5161764705882353,0.999567422215208,0.9996756778697435,0.9980344577237238,0.22963975483927856,0.9998905912877404
A2R001Q01,90240,12/01/1999,0.588965517241379,0.5647058823529412,0.9994225966121203,0.9996861753492986,0.9980576134545975,0.22827285153666382,0.9998918812725573
A2R001Q01,90240,02/02/1999,0.9641379310344829,0.5308823529411766,0.9994186986145217,0.9996626809902942,0.9980026185937725,0.23603333480312183,0.999888821308573
A2R001Q01,90240,02/02/1999,0.8786206896551723,0.5279411764705882,0.9994339907589471,0.9996634807982604,0.9979940350038796,0.2094448608845187,0.9998883413142227
A2R001Q01,90240,02/02/1999,0.9282758620689653,0.5220588235294118,0.9994254951231553,0.9996631808702731,0.9979940350038796,0.2222761144671282,0.9998883413142227
A2R001Q01,90240,02/02/1999,0.6413793103448278,0.5323529411764707,0.999487763136077,0.9996624810383027,0.9979966300426845,0.21769037435513028,0.9998884913124572
A2R001Q01,90240,02/02/1999,0.47034482758620655,0.5220588235294118,0.9995091521485413,0.9996622810863112,0.9979940350038796,0.21081176418713346,0.9998883413142227
